Rank,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h)
1,Bitcoin,"$80,074.37",1.48%,1.80%,2.36%,$1.59T,"$45,094,955,140"
2,Ethereum,"$2,367.26",1.11%,1.88%,1.67%,$284.02B,"$22,402,210,819"
3,Tether,$0.9997,0.01%,0.00%,0.05%,$189.53B,"$138,793,308,342"
4,XRP,$1.40,0.37%,0.57%,0.47%,$86.63B,"$2,231,367,497"
5,BNB,$626.12,0.35%,1.07%,0.35%,$84.34B,"$2,107,281,764"
6,USDC,$0.9997,0.00%,0.00%,0.01%,$77.49B,"$61,433,555,635"
7,Solana,$84.76,0.75%,0.54%,0.97%,$48.85B,"$4,776,987,007"
8,TRON,$0.3393,0.53%,0.52%,4.04%,$32.17B,"$800,736,246"
9,Dogecoin,$0.1116,0.64%,2.84%,12.68%,$18.97B,"$2,341,787,142"
10,Hyperliquid,$41.29,0.53%,0.45%,3.68%,$10.52B,"$286,916,951"
11,UNUS SED LEO,$10.32,0.03%,0.08%,0.39%,$9.51B,"$421,221"
12,Cardano,$0.2517,0.63%,0.72%,1.37%,$9.11B,"$456,179,619"
13,Bitcoin Cash,$444.16,0.20%,0.47%,2.33%,$8.9B,"$248,719,953"
14,Monero,$390.12,0.22%,1.09%,0.37%,$7.2B,"$135,284,594"
101,Injective,$3.71,0.31%,1.92%,2.44%,$371.59M,"$56,949,362"
102,Sun [New],$0.01907,0.23%,1.24%,3.39%,$366.51M,"$70,235,591"
103,Monad,$0.03019,0.70%,2.01%,6.08%,$357.12M,"$75,948,269"
104,Curve DAO Token,$0.2363,0.64%,0.50%,2.57%,$354.3M,"$57,044,443"
105,SPX6900,$0.3772,0.58%,1.39%,2.84%,$351.22M,"$6,624,232"
106,Gnosis,$132.91,1.16%,3.74%,6.84%,$350.83M,"$4,761,142"
107,ether.fi,$0.4185,0.62%,0.98%,4.28%,$349.88M,"$21,425,854"
108,Decred,$19.96,0.45%,3.57%,4.04%,$347.37M,"$4,229,574"
109,Zebec Network,$0.003436,0.32%,6.72%,13.75%,$343.61M,"$12,002,455"
110,Immutable,$0.1680,0.04%,1.23%,1.03%,$336.18M,"$22,599,212"
111,BitTorrent [New],$0.063219,0.00%,0.39%,0.42%,$317.77M,"$10,587,494"
112,Celestia,$0.3477,0.28%,0.14%,1.51%,$317.46M,"$26,448,934"
113,Bitcoin SV,$15.78,0.11%,0.11%,0.14%,$316.11M,"$17,356,056"
114,Lido DAO,$0.3710,0.97%,1.32%,6.79%,$315.05M,"$56,213,056"
115,Conflux,$0.06050,0.05%,0.26%,0.83%,$314.99M,"$26,519,267"
