Rank,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h)
1,Bitcoin,"$79,655.86",0.99%,1.24%,1.83%,$1.59T,"$45,094,955,140"
2,Ethereum,"$2,355.82",0.80%,1.35%,1.21%,$284.02B,"$22,402,210,819"
3,Tether,$0.9997,0.01%,0.01%,0.04%,$189.53B,"$138,793,308,342"
4,XRP,$1.40,0.37%,0.57%,0.47%,$86.63B,"$2,231,367,497"
5,BNB,$625.76,0.35%,0.99%,0.36%,$84.34B,"$2,107,281,764"
6,USDC,$0.9997,0.00%,0.00%,0.01%,$77.49B,"$61,433,555,635"
7,Solana,$84.76,0.75%,0.54%,0.97%,$48.85B,"$4,776,987,007"
8,TRON,$0.3393,0.53%,0.52%,4.04%,$32.17B,"$800,736,246"
9,Dogecoin,$0.1116,0.64%,2.84%,12.68%,$18.97B,"$2,341,787,142"
10,Hyperliquid,$41.29,0.57%,0.82%,3.42%,$10.52B,"$287,996,687"
11,UNUS SED LEO,$10.32,0.03%,0.08%,0.39%,$9.51B,"$421,221"
12,Cardano,$0.2517,0.63%,0.72%,1.37%,$9.11B,"$456,179,619"
13,Bitcoin Cash,$444.16,0.20%,0.47%,2.33%,$8.9B,"$248,719,953"
14,Monero,$390.12,0.22%,1.09%,0.37%,$7.2B,"$135,284,594"
15,Zcash,$413.06,0.31%,5.58%,14.55%,$6.88B,"$952,218,580"
16,Chainlink,$9.45,0.28%,3.54%,1.12%,$6.88B,"$774,748,138"
17,Canton,$0.1457,0.15%,2.25%,2.47%,$5.6B,"$13,919,718"
18,Dai,$0.9999,0.03%,0.03%,0.01%,$5.37B,"$79,054,395"
19,Stellar,$0.1583,0.54%,0.50%,5.74%,$5.28B,"$122,977,719"
20,World Liberty Financial USD,$0.9998,0.02%,0.00%,0.00%,$4.51B,"$1,043,922,661"
21,Litecoin,$55.33,0.18%,0.23%,0.86%,$4.27B,"$282,964,379"
22,Avalanche,$9.15,0.30%,0.89%,1.58%,$3.95B,"$233,201,368"
23,Ethena USDe,$0.9991,0.01%,0.00%,0.03%,$3.91B,"$58,206,381"
24,Hedera,$0.08832,0.26%,0.28%,3.13%,$3.83B,"$63,198,524"
25,Sui,$0.9334,0.57%,0.66%,0.50%,$3.74B,"$370,797,991"
26,Toncoin,$1.37,0.22%,2.58%,5.44%,$3.71B,"$120,784,612"
27,Shiba Inu,$0.056210,0.36%,0.04%,0.56%,$3.66B,"$142,074,446"
28,MemeCore,$2.64,0.49%,12.11%,33.71%,$3.43B,"$55,120,406"
29,PayPal USD,$0.9997,0.01%,0.01%,0.01%,$3.4B,"$78,545,542"
30,Bittensor,$284.96,0.27%,1.06%,13.67%,$3.1B,"$272,879,362"
31,Cronos,$0.06840,0.20%,0.33%,2.23%,$2.98B,"$7,279,027"
32,Tether Gold,"$4,572.78",0.27%,0.91%,2.29%,$2.71B,"$213,320,298"
33,Global Dollar,$0.9998,0.01%,0.01%,0.00%,$2.5B,"$39,256,084"
34,PAX Gold,"$4,572.54",0.27%,0.96%,2.34%,$2.19B,"$164,802,623"
35,Mantle,$0.6407,0.35%,1.21%,0.34%,$2.12B,"$35,600,918"
36,Uniswap,$3.30,0.82%,1.98%,0.61%,$2.1B,"$252,717,236"
37,Polkadot,$1.22,0.52%,1.84%,0.62%,$2.07B,"$163,743,811"
38,World Liberty Financial,$0.06261,1.82%,10.67%,15.09%,$1.99B,"$149,251,501"
39,Sky,$0.07947,0.52%,1.44%,10.66%,$1.84B,"$13,766,706"
40,Pi,$0.1771,0.74%,0.14%,3.63%,$1.84B,"$19,478,498"
41,OKB,$85.29,0.44%,0.54%,1.47%,$1.79B,"$29,920,490"
42,Aster,$0.6787,0.69%,1.16%,3.82%,$1.77B,"$158,993,587"
43,Pepe,$0.054027,0.57%,1.56%,3.42%,$1.67B,"$418,369,324"
44,NEAR Protocol,$1.26,0.96%,0.56%,8.07%,$1.64B,"$141,815,138"
45,Ripple USD,$0.9999,0.01%,0.01%,0.01%,$1.55B,"$195,964,447"
46,Ondo,$0.3109,0.27%,11.58%,17.47%,$1.51B,"$221,107,971"
47,USDD,$0.9995,0.05%,0.05%,0.08%,$1.48B,"$4,798,098"
48,Bitget Token,$2.04,0.19%,1.83%,3.13%,$1.43B,"$18,239,216"
49,Aave,$92.84,0.47%,0.35%,6.12%,$1.43B,"$308,875,373"
50,Ethereum Classic,$8.79,1.25%,4.07%,4.39%,$1.38B,"$67,274,870"
51,Internet Computer,$2.37,0.48%,1.19%,2.77%,$1.31B,"$50,482,484"
52,KuCoin Token,$8.41,0.41%,0.26%,0.87%,$1.13B,"$11,544,305"
53,United Stables,$0.9996,0.01%,0.03%,0.03%,$1.05B,"$135,477,362"
54,Polygon (prev. MATIC),$0.09739,1.39%,0.96%,5.46%,$1.04B,"$48,808,545"
55,Algorand,$0.1132,0.09%,1.20%,2.71%,$1.01B,"$45,090,124"
56,Render,$1.83,0.97%,1.43%,2.12%,$953.75M,"$60,814,686"
57,Cosmos,$1.87,0.06%,0.59%,5.71%,$949.29M,"$58,103,777"
58,Kaspa,$0.03368,0.10%,1.09%,0.51%,$923.42M,"$21,603,741"
59,Morpho,$1.97,0.21%,1.09%,1.53%,$917.17M,"$18,333,745"
60,Ethena,$0.1031,0.04%,2.53%,4.57%,$903.11M,"$128,896,074"
61,DeXe,$10.64,0.83%,3.32%,27.50%,$891.32M,"$13,977,348"
62,Quant,$68.18,0.37%,0.20%,2.88%,$823.17M,"$8,921,899"
63,GateToken,$7.26,0.40%,1.16%,1.16%,$818.18M,"$4,123,145"
64,Aptos,$0.9822,0.92%,0.72%,1.51%,$792.85M,"$63,124,913"
65,Worldcoin,$0.2369,0.48%,0.63%,7.19%,$787.42M,"$147,744,470"
66,Stable,$0.03292,0.11%,0.86%,7.37%,$736.63M,"$22,500,281"
67,Filecoin,$0.9385,0.40%,1.67%,1.07%,$729.09M,"$113,394,167"
68,SKYAI,$0.7261,0.56%,104.46%,324.14%,$726.11M,"$233,822,706"
69,Arbitrum,$0.1160,0.83%,1.17%,8.43%,$713.6M,"$94,761,083"
70,JUST,$0.08239,0.89%,1.60%,0.38%,$703.94M,"$27,128,693"
71,Flare,$0.007574,0.50%,0.87%,3.50%,$651.01M,"$2,998,863"
72,Pudgy Penguins,$0.01006,0.49%,2.90%,1.91%,$632.63M,"$274,150,113"
73,VeChain,$0.007182,0.36%,0.06%,1.64%,$617.57M,"$19,207,648"
74,Pump.fun,$0.001824,0.05%,1.05%,2.16%,$605.86M,"$59,535,361"
75,XDC Network,$0.02940,0.10%,0.88%,0.90%,$604.15M,"$27,435,672"
76,Jupiter,$0.1790,0.58%,0.57%,8.24%,$594.75M,"$22,900,998"
77,Dash,$46.78,0.86%,21.17%,31.87%,$593.63M,"$356,780,216"
78,siren,$0.8038,1.03%,14.35%,26.44%,$584.25M,"$31,925,622"
79,Nexo,$0.9048,0.54%,0.38%,0.18%,$584.66M,"$9,899,215"
80,Bonk,$0.056281,0.57%,0.66%,0.26%,$552.72M,"$54,342,557"
81,Humanity,$0.1996,0.34%,4.85%,41.30%,$544.5M,"$45,054,807"
82,OFFICIAL TRUMP,$2.32,0.65%,0.61%,9.02%,$539.83M,"$252,434,294"
83,Midnight,$0.03104,0.20%,2.44%,10.56%,$515.61M,"$25,970,131"
84,Terra Classic,$0.00009381,0.29%,12.25%,47.05%,$518.16M,"$116,044,665"
85,TrueUSD,$0.9979,0.01%,0.06%,0.32%,$493.48M,"$18,181,422"
86,PancakeSwap,$1.50,0.40%,0.41%,0.28%,$491.62M,"$35,040,908"
87,Virtuals Protocol,$0.7483,0.78%,0.53%,5.96%,$491.27M,"$79,669,861"
88,Artificial Superintelligence Alliance,$0.2054,0.59%,2.37%,1.91%,$464.04M,"$162,881,243"
89,edgeX,$1.27,0.30%,3.65%,3.71%,$447.98M,"$15,285,316"
90,BUILDon,$0.4365,7.41%,2.08%,212.69%,$436.56M,"$136,800,761"
91,LayerZero,$1.34,0.70%,1.33%,10.04%,$431.85M,"$29,026,838"
92,EURC,$1.17,0.02%,0.08%,0.23%,$431.91M,"$45,030,539"
93,Venice Token,$9.41,0.60%,1.97%,2.47%,$431.62M,"$11,535,291"
94,Aerodrome Finance,$0.4496,0.51%,0.70%,4.52%,$418.13M,"$15,695,845"
95,Chiliz,$0.04029,0.29%,0.97%,18.71%,$416.7M,"$70,705,839"
96,Sei,$0.05939,0.90%,1.97%,2.77%,$414.29M,"$30,104,466"
97,Stacks,$0.2266,0.58%,1.11%,0.47%,$411.3M,"$9,432,961"
98,币安人生,$0.4064,0.65%,1.17%,16.11%,$406.4M,"$28,452,269"
99,First Digital USD,$0.9990,0.02%,0.01%,0.08%,$402.49M,"$374,467,621"
100,Tezos,$0.3616,0.01%,0.06%,1.92%,$391.95M,"$12,452,214"
101,Injective,$3.72,0.35%,1.73%,2.84%,$372.12M,"$56,835,201"
102,Sun [New],$0.01909,0.36%,1.11%,3.73%,$366.95M,"$70,255,869"
103,Monad,$0.03023,0.53%,2.09%,5.90%,$357.51M,"$75,710,660"
104,Curve DAO Token,$0.2366,0.61%,0.60%,2.76%,$354.65M,"$56,949,318"
105,SPX6900,$0.3775,0.68%,1.45%,2.38%,$351.54M,"$6,615,231"
106,Gnosis,$132.83,0.65%,3.81%,6.76%,$350.62M,"$4,789,131"
107,ether.fi,$0.4187,0.55%,1.10%,4.24%,$350.05M,"$21,381,111"
108,Decred,$19.95,0.06%,3.75%,4.12%,$347.27M,"$4,218,990"
109,Zebec Network,$0.003427,0.36%,6.48%,13.47%,$342.79M,"$11,966,523"
110,Immutable,$0.1682,0.03%,1.28%,0.73%,$336.5M,"$22,505,597"
111,Celestia,$0.3482,0.43%,0.02%,1.12%,$317.87M,"$26,443,035"
112,BitTorrent [New],$0.063218,0.00%,0.30%,0.42%,$317.72M,"$10,530,302"
113,Bitcoin SV,$15.78,0.08%,0.13%,0.37%,$316.09M,"$17,297,327"
114,Conflux,$0.06059,0.45%,0.14%,1.08%,$315.48M,"$26,506,474"
115,Lido DAO,$0.3709,0.86%,1.28%,6.79%,$314.91M,"$55,854,760"
116,AINFT,$0.063168,0.29%,0.13%,1.74%,$313.73M,"$19,316,205"
117,FLOKI,$0.00003214,0.33%,0.99%,2.00%,$306.55M,"$32,137,749"
118,Maple Finance,$0.2509,0.42%,1.91%,0.43%,$298.81M,"$6,748,665"
119,Pendle,$1.75,2.59%,11.65%,31.21%,$298.51M,"$119,111,980"
120,DoubleZero,$0.08494,0.38%,0.90%,2.44%,$294.88M,"$6,025,264"
121,Kaia,$0.04558,0.31%,0.50%,4.58%,$287.59M,"$7,643,318"
122,Pyth Network,$0.04867,0.12%,0.84%,1.33%,$279.87M,"$10,264,490"
123,JasmyCoin,$0.005608,0.10%,0.51%,5.96%,$277.31M,"$12,468,717"
124,Kite,$0.1533,0.83%,2.73%,6.86%,$276.02M,"$34,907,308"
125,The Graph,$0.02455,0.19%,0.10%,0.87%,$265.34M,"$21,683,855"
126,Optimism,$0.1231,1.23%,1.19%,0.32%,$264.89M,"$72,665,362"
127,IOTA,$0.05472,0.25%,0.12%,4.67%,$241.94M,"$12,658,778"
128,Lighter,$0.9590,0.75%,5.16%,8.68%,$239.76M,"$29,700,220"
129,Ethereum Name Service,$6.18,0.67%,0.82%,1.16%,$238.11M,"$17,914,948"
130,Compound,$23.18,1.10%,1.85%,4.74%,$231.3M,"$33,864,808"
131,Axie Infinity,$1.31,0.76%,0.41%,8.39%,$227.98M,"$28,348,555"
132,Starknet,$0.03846,0.07%,0.62%,0.28%,$226.79M,"$21,964,816"
133,The Sandbox,$0.07320,0.49%,0.95%,6.90%,$215.05M,"$43,697,456"
134,Raydium,$0.7937,0.01%,2.73%,8.61%,$213.51M,"$20,659,881"
135,Fartcoin,$0.2105,0.48%,3.83%,3.15%,$210.53M,"$25,672,458"
136,Theta Network,$0.2103,0.37%,1.95%,1.39%,$210.36M,"$17,737,438"
137,Telcoin,$0.002087,0.01%,2.75%,3.28%,$200.54M,"$660,827"
138,Neo,$2.77,0.13%,0.42%,3.95%,$195.6M,"$10,832,204"
139,Onyxcoin,$0.005105,0.04%,0.39%,20.30%,$194.84M,"$14,685,481"
140,dogwifhat,$0.1917,0.14%,2.18%,7.62%,$191.51M,"$58,471,938"
141,Trust Wallet Token,$0.4306,0.04%,0.72%,1.57%,$185.11M,"$8,115,138"
142,Genius Terminal,$0.5464,0.95%,6.50%,3.19%,$183.28M,"$290,308,756"
143,Vision,$0.05073,0.05%,0.55%,0.46%,$183.42M,"$7,422,782"
144,THORChain,$0.5201,0.52%,0.28%,2.06%,$182.59M,"$13,181,192"
145,Akash Network,$0.6221,1.08%,7.05%,27.95%,$182.33M,"$36,280,904"
146,OriginTrail,$0.3626,3.69%,5.99%,20.68%,$181.34M,"$15,415,562"
147,Jito,$0.3849,0.11%,1.27%,12.92%,$179.52M,"$22,151,761"
148,Story,$0.5036,0.91%,2.10%,2.78%,$178.2M,"$47,547,821"
149,Helium,$0.9349,0.01%,5.11%,6.57%,$174.21M,"$5,452,777"
150,Decentraland,$0.08771,0.16%,1.53%,6.04%,$174.2M,"$19,674,870"
151,Convex Finance,$1.76,0.45%,0.70%,1.02%,$171.84M,"$9,308,998"
152,ZKsync,$0.01749,0.08%,3.21%,14.08%,$170.9M,"$50,014,362"
153,Walrus,$0.07041,0.17%,0.67%,3.10%,$165.45M,"$5,821,883"
154,MX Token,$1.75,0.05%,0.14%,0.38%,$161.6M,"$10,369,697"
155,SafePal,$0.3196,0.01%,0.30%,14.39%,$159.81M,"$3,371,198"
156,Plasma,$0.08857,0.05%,0.76%,10.18%,$159.44M,"$56,008,215"
157,Basic Attention Token,$0.1051,0.52%,3.84%,1.76%,$157.3M,"$46,955,021"
158,DeepBook Protocol,$0.03013,0.52%,1.50%,0.69%,$156.54M,"$7,387,852"
159,AB,$0.001546,0.06%,0.16%,0.31%,$152.84M,"$3,158,732"
160,Audiera,$0.5757,1.82%,5.20%,4.50%,$153.6M,"$12,132,419"
161,RaveDAO,$0.6137,1.38%,3.81%,29.09%,$152.25M,"$31,828,303"
162,Stargate Finance,$0.2288,1.02%,4.45%,5.73%,$151.26M,"$4,530,325"
163,Gala,$0.003123,0.03%,0.63%,7.38%,$148.84M,"$22,585,103"
164,MegaETH,$0.1302,0.67%,4.38%,24.11%,$147.16M,"$260,812,664"
165,Falcon Finance,$0.06187,0.43%,0.33%,9.93%,$144.78M,"$11,587,392"
166,Vaulta,$0.08788,0.58%,1.24%,1.33%,$144.05M,"$13,701,174"
167,Arweave,$2.18,0.33%,4.54%,13.19%,$143.17M,"$37,240,655"
168,eCash,$0.057146,0.28%,0.13%,1.08%,$143.1M,"$3,773,563"
169,Golem,$0.1365,0.03%,1.66%,0.52%,$136.54M,"$5,935,312"
170,1inch,$0.09584,0.38%,0.59%,1.16%,$134.72M,"$11,590,834"
171,Horizen,$7.25,0.17%,9.21%,20.48%,$130.78M,"$67,178,220"
172,Centrifuge,$0.2250,0.31%,6.99%,12.51%,$129.88M,"$16,754,160"
173,EigenCloud,$0.1748,0.47%,0.75%,4.53%,$128.79M,"$16,468,410"
