Rank,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Vol_MC_Ratio,Cap_Category
1,Bitcoin,79655.86,0.99,1.24,1.83,1590000000000.0,45094955140.0,0.02836160700628931,Large Cap
2,Ethereum,2355.82,0.8,1.35,1.21,284020000000.0,22402210819.0,0.07887546940004225,Large Cap
3,Tether,0.9997,0.01,0.01,0.04,189530000000.0,138793308342.0,0.7323025818709439,Large Cap
4,XRP,1.4,0.37,0.57,0.47,86630000000.0,2231367497.0,0.025757445423063605,Large Cap
5,BNB,625.76,0.35,0.99,0.36,84340000000.0,2107281764.0,0.024985555655679392,Large Cap
6,USDC,0.9997,0.0,0.0,0.01,77490000000.0,61433555635.0,0.7927933363659827,Large Cap
7,Solana,84.76,0.75,0.54,0.97,48850000000.0,4776987007.0,0.09778888448311157,Large Cap
8,TRON,0.3393,0.53,0.52,4.04,32170000000.0,800736246.0,0.024890775442959277,Large Cap
9,Dogecoin,0.1116,0.64,2.84,12.68,18970000000.0,2341787142.0,0.12344687095413812,Large Cap
10,Hyperliquid,41.29,0.57,0.82,3.42,10520000000.0,287996687.0,0.027376110931558936,Large Cap
11,UNUS SED LEO,10.32,0.03,0.08,0.39,9510000000.0,421221.0,4.4292429022082016e-05,Mid Cap
12,Cardano,0.2517,0.63,0.72,1.37,9110000000.0,456179619.0,0.05007460142700329,Mid Cap
13,Bitcoin Cash,444.16,0.2,0.47,2.33,8900000000.0,248719953.0,0.02794606213483146,Mid Cap
14,Monero,390.12,0.22,1.09,0.37,7200000000.0,135284594.0,0.018789526944444444,Mid Cap
15,Zcash,413.06,0.31,5.58,14.55,6880000000.0,952218580.0,0.138403863372093,Mid Cap
16,Chainlink,9.45,0.28,3.54,1.12,6880000000.0,774748138.0,0.11260874098837209,Mid Cap
17,Canton,0.1457,0.15,2.25,2.47,5600000000.0,13919718.0,0.0024856639285714285,Mid Cap
18,Dai,0.9999,0.03,0.03,0.01,5370000000.0,79054395.0,0.014721488826815643,Mid Cap
19,Stellar,0.1583,0.54,0.5,5.74,5280000000.0,122977719.0,0.023291234659090908,Mid Cap
20,World Liberty Financial USD,0.9998,0.02,0.0,0.0,4510000000.0,1043922661.0,0.23146843924611973,Mid Cap
21,Litecoin,55.33,0.18,0.23,0.86,4269999999.9999995,282964379.0,0.06626800444964871,Mid Cap
22,Avalanche,9.15,0.3,0.89,1.58,3950000000.0,233201368.0,0.059038321012658226,Mid Cap
23,Ethena USDe,0.9991,0.01,0.0,0.03,3910000000.0,58206381.0,0.014886542455242967,Mid Cap
24,Hedera,0.08832,0.26,0.28,3.13,3830000000.0,63198524.0,0.016500920104438644,Mid Cap
